Date,scraper
2020-03-26,historical_ice_scraper
2020-03-27,historical_ice_scraper
2020-03-30,historical_ice_scraper
2020-04-01,historical_ice_scraper
2020-04-03,historical_ice_scraper
2020-04-04,historical_ice_scraper
2020-04-07,historical_ice_scraper
2020-04-08,historical_ice_scraper
2020-04-09,historical_ice_scraper
2020-04-10,historical_ice_scraper
2020-04-13,historical_ice_scraper
2020-04-14,historical_ice_scraper
2020-04-15,historical_ice_scraper
2020-04-16,historical_ice_scraper
2020-04-17,historical_ice_scraper
2020-04-20,historical_ice_scraper
2020-04-21,historical_ice_scraper
2020-04-22,historical_ice_scraper
2020-04-24,historical_ice_scraper
2020-04-27,historical_ice_scraper
2020-04-28,historical_ice_scraper
2020-04-29,historical_ice_scraper
2020-04-30,historical_ice_scraper
2020-05-01,historical_ice_scraper
2020-05-04,historical_ice_scraper
2020-05-05,historical_ice_scraper
2020-05-06,historical_ice_scraper
2020-05-07,historical_ice_scraper
2020-05-08,historical_ice_scraper
2020-05-11,historical_ice_scraper
2020-05-13,historical_ice_scraper
2020-05-14,historical_ice_scraper
2020-05-15,historical_ice_scraper
2020-05-18,historical_ice_scraper
2020-05-19,historical_ice_scraper
2020-05-20,historical_ice_scraper
2020-05-21,historical_ice_scraper
2020-05-22,historical_ice_scraper
2020-05-26,historical_ice_scraper
2020-05-27,historical_ice_scraper
2020-05-28,historical_ice_scraper
2020-05-29,historical_ice_scraper
2020-06-01,historical_ice_scraper
2020-06-03,historical_ice_scraper
2020-06-04,historical_ice_scraper
2020-06-05,historical_ice_scraper
2020-06-08,historical_ice_scraper
2020-06-10,historical_ice_scraper
2020-06-11,historical_ice_scraper
2020-06-12,historical_ice_scraper
2020-06-15,historical_ice_scraper
2020-06-16,historical_ice_scraper
2020-06-17,historical_ice_scraper
2020-06-18,historical_ice_scraper
2020-06-19,historical_ice_scraper
2020-06-22,historical_ice_scraper
2020-06-23,historical_ice_scraper
2020-06-24,historical_ice_scraper
2020-06-25,historical_ice_scraper
2020-06-26,historical_ice_scraper
2020-06-29,historical_ice_scraper
2020-06-30,historical_ice_scraper
2020-07-01,historical_ice_scraper
2020-07-07,historical_ice_scraper
2020-07-08,historical_ice_scraper
2020-07-09,historical_ice_scraper
2020-07-10,historical_ice_scraper
2020-07-13,historical_ice_scraper
2020-07-14,historical_ice_scraper
2020-07-15,historical_ice_scraper
2020-07-16,historical_ice_scraper
2020-07-17,historical_ice_scraper
2020-07-20,historical_ice_scraper
2020-07-21,historical_ice_scraper
2020-07-23,historical_ice_scraper
2020-07-24,historical_ice_scraper
2020-07-27,historical_ice_scraper
2020-07-28,historical_ice_scraper
2020-07-29,historical_ice_scraper
2020-07-30,historical_ice_scraper
2020-08-03,historical_ice_scraper
2020-08-04,historical_ice_scraper
2020-08-05,historical_ice_scraper
2020-08-06,historical_ice_scraper
2020-08-07,historical_ice_scraper
2020-08-10,historical_ice_scraper
2020-08-11,historical_ice_scraper
2020-08-12,historical_ice_scraper
2020-08-13,historical_ice_scraper
2020-08-14,historical_ice_scraper
2020-08-17,historical_ice_scraper
2020-08-18,historical_ice_scraper
2020-08-19,historical_ice_scraper
2020-08-20,historical_ice_scraper
2020-08-21,historical_ice_scraper
2020-08-24,historical_ice_scraper
2020-08-25,historical_ice_scraper
2020-08-26,historical_ice_scraper
2020-08-27,historical_ice_scraper
2020-08-28,historical_ice_scraper
2020-08-31,historical_ice_scraper
2020-09-01,historical_ice_scraper
2020-09-02,historical_ice_scraper
2020-09-04,historical_ice_scraper
2020-09-08,historical_ice_scraper
2020-09-09,historical_ice_scraper
2020-09-10,historical_ice_scraper
2020-09-11,historical_ice_scraper
2020-09-14,historical_ice_scraper
2020-09-15,historical_ice_scraper
2020-09-16,historical_ice_scraper
2020-09-17,historical_ice_scraper
2020-09-18,historical_ice_scraper
2020-09-22,historical_ice_scraper
2020-09-23,historical_ice_scraper
2020-09-24,historical_ice_scraper
2020-09-28,historical_ice_scraper
2020-09-29,historical_ice_scraper
2020-09-30,historical_ice_scraper
2020-10-01,historical_ice_scraper
2020-10-02,historical_ice_scraper
2020-10-05,historical_ice_scraper
2020-10-07,historical_ice_scraper
2020-10-08,historical_ice_scraper
2020-10-09,historical_ice_scraper
2020-10-13,historical_ice_scraper
2020-10-14,historical_ice_scraper
2020-10-15,historical_ice_scraper
2020-10-16,historical_ice_scraper
2020-10-19,historical_ice_scraper
2020-10-20,historical_ice_scraper
2020-10-21,historical_ice_scraper
2020-10-22,historical_ice_scraper
2020-10-26,historical_ice_scraper
2020-10-27,historical_ice_scraper
2020-10-28,historical_ice_scraper
2020-10-29,historical_ice_scraper
2020-10-30,historical_ice_scraper
2020-11-02,historical_ice_scraper
2020-11-03,historical_ice_scraper
2020-11-04,historical_ice_scraper
2020-11-05,historical_ice_scraper
2020-11-06,historical_ice_scraper
2020-11-09,historical_ice_scraper
2020-11-10,historical_ice_scraper
2020-11-12,historical_ice_scraper
2020-11-13,historical_ice_scraper
2020-11-16,historical_ice_scraper
2020-11-17,historical_ice_scraper
2020-11-18,historical_ice_scraper
2020-11-19,historical_ice_scraper
2020-11-20,historical_ice_scraper
2020-11-23,historical_ice_scraper
2020-11-24,historical_ice_scraper
2020-11-25,historical_ice_scraper
2020-11-27,historical_ice_scraper
2020-11-30,historical_ice_scraper
2020-12-01,historical_ice_scraper
2020-12-02,historical_ice_scraper
2020-12-03,historical_ice_scraper
2020-12-04,historical_ice_scraper
2020-12-07,historical_ice_scraper
2020-12-08,historical_ice_scraper
2020-12-09,historical_ice_scraper
2020-12-10,historical_ice_scraper
2020-12-11,historical_ice_scraper
2020-12-14,historical_ice_scraper
2020-12-15,historical_ice_scraper
2020-12-16,historical_ice_scraper
2020-12-17,historical_ice_scraper
2020-12-18,historical_ice_scraper
2020-12-21,historical_ice_scraper
2020-12-22,historical_ice_scraper
2020-12-23,historical_ice_scraper
2020-12-28,historical_ice_scraper
2020-12-29,historical_ice_scraper
2020-12-30,historical_ice_scraper
2020-12-31,historical_ice_scraper
2021-01-04,historical_ice_scraper
2021-01-05,historical_ice_scraper
2021-01-06,historical_ice_scraper
2021-01-07,historical_ice_scraper
2021-01-08,historical_ice_scraper
2021-01-11,historical_ice_scraper
2021-01-12,historical_ice_scraper
