id,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tested,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Released,Residents.Population,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,hifld_id,Notes
alabama,NA,Alabama,ADOC HEADQUARTERS,2020-11-10,http://www.doc.alabama.gov/covid19news,0,26,0,0,0,23,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,ALABAMA CORRECTIONS ACADEMY,2020-11-10,http://www.doc.alabama.gov/covid19news,0,13,0,0,0,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,ALEX CITY COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,1,5,0,0,1,5,85,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,Prison,Alabama,ATEF,2020-11-10,http://www.doc.alabama.gov/covid19news,1,2,0,0,1,2,21,NA,NA,NA,0,NA,NA,NA,NA,NA,102 INDUSTRIAL PARKWAY,35051,COLUMBIANA,SHELBY,33.1810049880429,-86.6240172421684,1117,10006524,NA
alabama,NA,Alabama,BIBB CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,32,25,1,0,4,17,103,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,BIRMINGHAM COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,0,12,0,0,0,12,119,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,BULLOCK CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,65,35,1,0,57,25,318,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,CAMDEN COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,0,1,0,0,0,1,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,CHILDERSBURG COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,0,2,0,0,0,2,189,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,DONALDSON CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,1,6,0,0,1,6,120,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,Prison,Alabama,DRAPER QIF,2020-11-10,http://www.doc.alabama.gov/covid19news,67,0,0,0,66,0,510,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,EASTERLING CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,51,22,1,0,43,14,158,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,ELBA COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,1,3,0,0,1,2,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,ELMORE CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,27,18,0,0,27,18,72,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
federal,federal,Alabama,FCI TALLADEGA,2020-11-10,https://www.bop.gov/coronavirus/,75,NA,0,0,62,8,407,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121,NA,NA
alabama,NA,Alabama,FOUNTAIN CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,19,28,1,0,18,28,102,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,FRANK LEE COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,1,14,0,0,1,9,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,HAMILTON AGED & INFIRMED,2020-11-10,http://www.doc.alabama.gov/covid19news,3,8,0,0,2,7,245,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,HAMILTON COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,2,5,1,0,1,2,88,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,HOLMAN CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,37,22,1,0,34,21,90,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,KILBY CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,10,37,1,0,9,36,721,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,LIMESTONE CORRECTIONAL FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,59,39,2,0,47,16,1643,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,LOXLEY COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,104,13,0,0,4,8,242,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,MOBILE COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,0,6,0,0,0,6,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,MONTGOMERY WOMEN’S FACILITY,2020-11-10,http://www.doc.alabama.gov/covid19news,1,9,0,0,1,5,146,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alabama,NA,Alabama,NORTH ALABAMA COMMUNITY BASED FACILITY/COMMUNITY WORK CENTER,2020-11-10,http://www.doc.alabama.gov/covid19news,85,26,0,0,4,6,307,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
